invoice_id,customer_id,amount_due,currency,invoice_date,due_date,status_hint
INV-0000001,CUST-00655,601.09,EUR,2025-05-21,2025-06-12,
INV-0000002,CUST-00229,740.71,EUR,2025-02-22,2025-04-04,
INV-0000003,CUST-00090,2972.94,EUR,2025-01-17,2025-01-25,
INV-0000004,CUST-00096,1132.26,EUR,2025-09-16,2025-10-31,
INV-0000005,CUST-00028,2828.16,EUR,2025-11-29,2026-01-09,
INV-0000006,CUST-00430,1141.18,EUR,2025-10-29,2025-11-22,
INV-0000007,CUST-00829,4353.04,EUR,2025-03-23,2025-04-26,
INV-0000008,CUST-00349,1425.46,EUR,2025-04-21,2025-05-19,
INV-0000009,CUST-00105,509.09,EUR,2025-02-19,2025-03-20,
INV-0000010,CUST-00868,1752.58,EUR,2025-05-16,2025-05-25,
INV-0000011,CUST-00748,2324.15,EUR,2025-03-05,2025-04-05,
INV-0000012,CUST-00081,2782.60,EUR,2025-11-18,2025-12-18,
INV-0000013,CUST-00592,1001.83,EUR,2025-02-05,2025-02-14,
INV-0000014,CUST-00678,1178.10,EUR,2025-05-29,2025-06-10,
INV-0000015,CUST-00876,1202.31,EUR,2025-02-21,2025-03-24,
INV-0000016,CUST-00285,2294.38,EUR,2025-07-06,2025-07-23,
INV-0000017,CUST-00380,1808.59,EUR,2025-12-10,2026-01-03,
INV-0000018,CUST-00719,4686.44,EUR,2025-11-28,2025-12-09,
INV-0000019,CUST-00624,3193.14,EUR,2025-10-01,2025-10-23,
INV-0000020,CUST-00168,2338.19,EUR,2025-05-19,2025-06-30,
INV-0000021,CUST-00225,3438.84,EUR,2025-01-29,2025-02-19,
INV-0000022,CUST-00842,208.90,EUR,2025-06-11,2025-07-13,
INV-0000023,CUST-00275,377.63,EUR,2025-10-18,2025-11-14,
INV-0000024,CUST-00218,3294.42,EUR,2025-07-22,2025-08-27,
INV-0000025,CUST-00147,1361.16,EUR,2025-05-07,2025-06-18,
INV-0000026,CUST-00552,1350.57,EUR,2025-10-27,2025-11-30,
INV-0000027,CUST-00920,2938.49,EUR,2025-07-05,2025-07-26,
INV-0000028,CUST-00142,2572.16,EUR,2025-02-16,2025-02-26,
INV-0000029,CUST-00882,592.76,EUR,2025-11-18,2025-12-05,
INV-0000030,CUST-00812,3418.38,EUR,2025-11-02,2025-11-13,
INV-0000031,CUST-00395,1939.02,EUR,2025-08-28,2025-10-07,
INV-0000032,CUST-00258,4856.84,EUR,2025-01-06,2025-01-20,
INV-0000033,CUST-00699,4429.70,EUR,2025-05-17,2025-06-14,
INV-0000034,CUST-00115,1502.83,EUR,2025-03-22,2025-04-27,
INV-0000035,CUST-00004,4771.39,EUR,2025-05-15,2025-06-23,
