payment_id,invoice_id,customer_id,amount_paid,currency,payment_date,reference
PAY-00018466,INV-0019299,CUST-00509,1449.19,EUR,2025-09-23,full-match
PAY-00005337,INV-0005570,CUST-00948,749.19,EUR,2025-09-25,full-match
PAY-00016034,INV-0016778,CUST-00387,216.84,EUR,2025-07-12,partial
PAY-00008868,INV-0009297,CUST-00015,2235.52,EUR,2026-02-02,full-match
PAY-00000088,INV-0000092,CUST-00209,3453.11,EUR,2025-07-05,full-match
PAY-00004345,INV-0004528,CUST-00564,2730.27,EUR,2025-09-07,full-match
PAY-00024268,INV-X-0006955,CUST-00996,2834.97,EUR,2025-09-11,noise
PAY-00018391,INV-0019222,CUST-00377,3728.63,EUR,2025-08-11,full-match
PAY-00011443,INV-0011996,CUST-00662,3192.01,EUR,2025-02-19,duplicate
PAY-00005291,INV-0005523,CUST-00016,1548.49,EUR,2025-03-29,full-match
PAY-00019892,INV-X-0016495,CUST-00525,5576.99,EUR,2025-10-27,noise
PAY-00017786,INV-0018581,CUST-00983,3326.62,EUR,2026-01-21,duplicate
PAY-00018513,INV-0019346,CUST-00924,3364.27,EUR,2025-04-21,full-match
PAY-00012435,INV-0013026,CUST-00723,4613.73,EUR,2025-06-18,duplicate
PAY-00008848,INV-0009273,CUST-00603,4778.71,EUR,2025-04-12,overpay
PAY-00011815,INV-0012389,CUST-00140,3560.03,EUR,2025-10-24,full-match
PAY-00000923,INV-0000965,CUST-00936,2978.23,EUR,2026-02-04,full-match
PAY-00017199,INV-0017975,CUST-00274,661.93,EUR,2025-11-13,duplicate
PAY-00000132,INV-0000139,CUST-00476,298.58,EUR,2025-06-02,full-match
PAY-00023348,INV-X-0012468,CUST-00688,126.83,EUR,2025-10-09,noise
PAY-00005716,INV-0005962,CUST-00753,2929.52,EUR,2025-07-09,full-match
PAY-00022493,INV-X-0021774,CUST-00832,6694.86,EUR,2025-08-21,noise
PAY-00005222,INV-0005454,CUST-00863,1734.47,EUR,2025-05-11,partial
PAY-00022281,INV-X-0038225,CUST-00358,4972.35,EUR,2025-06-10,noise
PAY-00023364,INV-X-0014310,CUST-00245,3678.65,EUR,2025-11-25,noise
