invoice_id,payment_id,classification,reason
INV-0000001,PAY-00000001,matched_partial,paid 137.85 / due 173.80
INV-0000003,,missing_payment,no payment found
INV-0000005,PAY-00000004,matched_partial,paid 2142.17 / due 2828.16
INV-0000009,PAY-00000008,matched_partial,paid 135.18 / due 509.09
INV-0000010,,missing_payment,no payment found
INV-0000017,PAY-00000015,matched_partial,paid 1238.64 / due 3065.20
INV-0000022,PAY-00000020,matched_partial,paid 2027.24 / due 3294.42
INV-0000023,PAY-00000021,matched_partial,paid 733.30 / due 1361.16
INV-0000030,PAY-00000028|PAY-00000029,duplicate_payment,multiple payments for one invoice
INV-0000033,PAY-00000032,overpaid,paid 3373.73 / due 2563.02
INV-0000036,PAY-00000035,overpaid,paid 2267.70 / due 1654.57
INV-0000037,PAY-00000036,overpaid,paid 5325.60 / due 4399.67
INV-0000041,PAY-00000040,overpaid,paid 1681.07 / due 1362.03
INV-0000042,PAY-00000041,matched_partial,paid 3521.74 / due 4648.12
INV-0000058,,missing_payment,no payment found
INV-0000060,,missing_payment,no payment found
INV-0000062,PAY-00000060,matched_partial,paid 1418.11 / due 4636.26
INV-0000065,,missing_payment,no payment found
INV-0000066,PAY-00000064,overpaid,paid 320.93 / due 298.20
INV-0000067,PAY-00000065,matched_partial,paid 400.06 / due 829.29
INV-0000069,,missing_payment,no payment found
INV-0000071,PAY-00000068|PAY-00000069,duplicate_payment,multiple payments for one invoice
INV-0000073,PAY-00000071,overpaid,paid 1619.19 / due 1364.79
INV-0000079,PAY-00000078|PAY-00000077,duplicate_payment,multiple payments for one invoice
INV-0000087,,missing_payment,no payment found
INV-0000088,PAY-00000086,matched_partial,paid 2369.50 / due 3719.09
INV-0000089,PAY-00000087,matched_partial,paid 46.43 / due 97.87
INV-0000092,PAY-00000090,matched_partial,paid 930.08 / due 1855.03
INV-0000094,,missing_payment,no payment found
INV-0000096,PAY-00000093,overpaid,paid 1090.85 / due 937.84
INV-0000101,PAY-00000098,matched_partial,paid 1645.08 / due 3317.16
INV-0000108,PAY-00000105|PAY-00000106,duplicate_payment,multiple payments for one invoice
